EmployeeNumber,Age,Gender,Attrition,BusinessTravel,Department,JobRole,EducationField,MaritalStatus,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,StandardHours,DailyRate,HourlyRate,MonthlyRate,MonthlyIncome,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
453,27,Male,No,Travel_Rarely,Data & Analytics,Data Scientist,Computer Science,Divorced,13,2,1,3,80,696,38,17125,22842,1,5,1,8,Y,No,14,3,2,3,7,3,3,4,4,2,1
1172,44,Female,No,Travel_Rarely,Engineering,Senior Software Engineer,Information Technology,Divorced,23,2,1,3,80,608,98,13496,3321,1,1,4,9,Y,No,19,3,3,1,21,2,3,7,7,5,4
639,46,Male,Yes,Travel_Frequently,Customer Support,Support Team Lead,Unknown,Married,18,5,1,3,80,190,99,5815,5850,1,2,2,9,Y,No,19,3,1,0,25,1,1,20,16,5,20
952,44,Male,No,Travel_Rarely,Engineering,Devops Engineer,Electrical Engineering,Married,20,4,1,2,80,985,40,25505,7363,2,2,4,7,Y,No,22,3,2,0,24,2,3,24,23,19,1
1459,39,Male,No,Travel_Rarely,Marketing,Content Strategist,Unknown,Divorced,4,3,1,2,80,225,66,15897,5723,2,2,1,8,Y,No,14,3,4,0,18,0,3,8,1,0,0
128,53,Female,Yes,Travel_Rarely,Sales,Account Manager,Other,Married,13,5,1,2,80,698,99,25281,3701,2,1,4,3,Y,Yes,18,3,3,1,36,3,4,23,13,10,2
446,42,Male,No,Travel_Rarely,Sales,Sales Manager,Marketing,Married,20,4,1,4,80,1038,66,10038,9818,1,3,1,8,Y,Yes,14,3,2,1,25,4,3,1,1,0,0
1251,20,Male,Yes,Travel_Rarely,Sales,Sales Executive,Other,Married,9,5,1,3,80,1118,61,14751,6293,3,2,4,1,Y,Yes,21,4,3,3,1,2,2,0,0,0,0
10,39,Male,No,Non-Travel,Engineering,Engineering Manager,Other,Married,1,3,1,1,80,1256,39,19885,2339,1,1,2,8,Y,Yes,17,4,4,1,19,5,3,11,5,2,10
314,39,Male,No,Travel_Frequently,Engineering,Devops Engineer,Other,Married,7,2,1,1,80,318,72,22082,13592,4,3,2,4,Y,No,17,3,1,1,20,2,3,9,6,5,1
102,43,Male,Yes,Travel_Frequently,Engineering,Senior Software Engineer,Unknown,Divorced,23,4,1,4,80,509,71,15042,23356,4,5,1,3,Y,Unknown,20,4,2,1,22,2,2,11,10,5,1
201,23,Female,No,Travel_Rarely,Marketing,Content Strategist,Business Administration,Single,8,4,1,1,80,324,69,4468,2996,1,1,3,0,Y,Yes,20,3,3,0,0,4,3,0,0,0,0
969,30,Male,No,Travel_Rarely,Customer Support,Customer Support Specialist,Business Administration,Single,14,3,1,1,80,948,74,18574,2866,3,1,2,9,Y,No,25,3,1,0,9,2,3,3,2,3,2
1463,41,Male,No,Non-Travel,Data & Analytics,Data Scientist,Computer Science,Single,29,4,1,4,80,857,77,5568,2951,2,1,1,3,Y,No,11,3,1,0,23,2,1,8,5,7,8
431,41,Male,No,Travel_Rarely,Engineering,Qa Engineer,Electrical Engineering,Married,26,1,1,4,80,179,32,7098,6891,2,2,2,1,Y,Yes,17,3,2,0,24,5,3,1,1,0,0
1335,40,Male,Yes,Non-Travel,Human Resources,Hr Manager,Human Resources,Married,29,3,1,1,80,1114,41,22302,6181,2,2,3,9,Y,Yes,25,3,1,2,30,6,3,4,1,3,2
489,23,Male,No,Travel_Rarely,Data & Analytics,Data Analyst,Data Science,Single,20,4,1,1,80,870,52,4097,6001,4,2,2,9,Y,No,21,3,2,0,1,1,3,1,0,0,0
1400,38,Female,No,Travel_Rarely,Product,Ux Designer,Business Administration,Single,29,4,1,1,80,1268,48,8643,5161,4,2,4,9,Y,No,20,3,2,0,20,3,3,11,3,10,3
1305,25,Female,No,Travel_Rarely,Data & Analytics,Data Engineer,Information Technology,Married,22,4,1,2,80,1406,71,22954,4139,4,1,4,5,Y,Yes,21,3,3,0,5,3,2,5,5,0,0
1428,33,Female,No,Travel_Frequently,Engineering,Devops Engineer,Information Technology,Single,5,3,1,4,80,527,46,3274,3826,4,4,3,2,Y,No,23,3,4,1,16,2,2,6,0,4,0
276,31,Male,Yes,Travel_Frequently,Engineering,Qa Engineer,Unknown,Married,24,1,1,3,80,139,87,6219,3077,3,1,4,1,Y,No,17,3,1,1,10,2,1,4,4,0,0
1114,28,Female,No,Travel_Rarely,Engineering,Engineering Manager,Other,Married,20,3,1,2,80,775,39,24590,5929,2,2,2,5,Y,No,17,3,3,1,11,2,3,2,2,1,2
373,56,Male,Yes,Travel_Frequently,Engineering,Senior Software Engineer,Computer Science,Married,24,3,1,4,80,1183,78,11416,10457,1,3,2,5,Y,No,23,4,4,0,36,5,3,3,0,3,0
842,27,Female,No,Travel_Rarely,Human Resources,Talent Acquisition Specialist,Human Resources,Divorced,27,3,1,2,80,1076,94,4063,20977,1,4,3,9,Y,No,13,3,3,0,35,2,3,9,2,6,3
119,33,Male,No,Travel_Frequently,Sales,Account Manager,Marketing,Unknown,5,4,1,4,80,145,96,15577,7550,3,2,3,1,Y,No,16,4,3,2,17,3,3,4,4,2,4
1288,33,Female,No,Travel_Rarely,Customer Support,Technical Support Engineer,Other,Single,22,4,1,3,80,1413,37,12373,3358,3,1,2,6,Y,No,21,3,1,0,14,3,3,7,7,4,5
1039,30,Male,No,Travel_Rarely,It Operations,It Manager,Information Technology,Married,17,4,1,0,80,1188,56,2389,8080,3,3,4,9,Y,No,17,3,1,1,11,2,4,2,0,0,1
657,23,Female,No,Travel_Rarely,Marketing,Content Strategist,Other,Divorced,26,3,1,2,80,767,91,6252,4532,2,2,1,3,Y,No,21,3,4,1,0,3,4,0,0,0,0
618,35,Male,No,Travel_Rarely,Human Resources,Hr Manager,Other,Married,27,3,1,2,80,898,56,7145,3526,2,1,4,1,Y,No,19,3,2,1,15,3,3,1,1,0,0
1068,37,Female,No,Travel_Rarely,Engineering,Devops Engineer,Other,Single,27,3,1,3,80,318,74,20726,12588,4,4,2,5,Y,No,17,3,1,2,17,2,3,0,0,0,0
18,52,Male,No,Travel_Frequently,Engineering,Devops Engineer,Electrical Engineering,Divorced,24,2,1,3,80,741,52,26207,6527,4,3,3,7,Y,Yes,17,3,4,3,35,4,2,19,0,1,9
738,38,Female,No,Travel_Rarely,Sales,Account Manager,Marketing,Single,11,3,1,1,80,821.5,91,24979,8932,2,3,3,5,Y,Yes,18,4,3,1,14,5,4,14,12,12,0
147,33,Female,No,Travel_Rarely,Human Resources,Hr Manager,Human Resources,Divorced,8,4,1,4,80,591,53,6683,4938,2,1,4,0,Y,Yes,18,4,3,2,15,1,3,0,0,0,0
398,38,Female,No,Travel_Rarely,It Operations,It Support Engineer,Information Technology,Married,16,3,1,4,80,369,32,17913,1376,3,1,4,9,Y,No,17,4,2,0,16,3,3,13,3,11,5
886,30,Male,No,Travel_Rarely,Sales,Account Manager,Other,Married,9,3,1,0,80,295,85,10780,12198,4,3,2,2,Y,No,22,4,1,0,10,2,3,10,7,7,8
112,38,Female,No,Travel_Rarely,Customer Support,Technical Support Engineer,Other,Single,28,4,1,4,80,1194,40,6364,12085,3,4,2,0,Y,No,16,3,3,0,18,2,3,9,6,5,0
1435,23,Male,No,Travel_Rarely,Marketing,Digital Marketing Manager,Other,Married,3,4,1,2,80,1098,47,18756,9951,1,4,1,2,Y,No,15,3,3,2,1,2,4,1,1,0,1
1147,34,Male,No,Travel_Frequently,Data & Analytics,Data Engineer,Computer Science,Married,4,2,1,4,80,126,71,15125,7405,1,2,1,2,Y,Yes,17,3,3,0,18,2,4,14,2,0,0
708,34,Unknown,No,Travel_Rarely,Human Resources,Hr Executive,Other,Married,9,1,1,4,80,736,61,19899,20974,2,5,3,1,Y,Yes,11,4,1,1,17,4,3,14,11,13,13
1064,31,Female,No,Travel_Rarely,Data & Analytics,Data Engineer,Computer Science,Married,27,4,1,3,80,453,67,14573,5002,1,2,4,7,Y,No,19,3,2,1,9,4,1,2,1,1,1
1442,38,Female,No,Travel_Rarely,Engineering,Qa Engineer,Information Technology,Married,9,4,1,3,80,756,58,9964,4837,2,1,2,4,Y,No,21,3,3,3,18,1,2,14,13,13,11
1446,28,Male,No,Travel_Rarely,Engineering,Senior Software Engineer,Information Technology,Divorced,7,2,1,4,80,1223,61,14902,7262,2,3,1,0,Y,No,16,3,2,0,4,2,1,4,3,2,2
263,41,Male,No,Travel_Frequently,Engineering,Software Engineer,Electrical Engineering,Married,12,4,1,4,80,765,99,3170,3346,3,1,4,3,Y,No,13,3,2,1,21,2,2,13,8,11,4
352,41,Male,No,Travel_Rarely,Engineering,Senior Software Engineer,Computer Science,Single,9,3,1,1,80,1185,31,22030,3829,4,1,2,9,Y,No,21,3,4,3,22,3,3,22,12,0,20
1234,45,Female,No,Travel_Rarely,Engineering,Senior Software Engineer,Software Engineering,Divorced,4,4,1,4,80,200,34,12671,6430,2,1,2,9,Y,No,23,3,2,1,27,1,3,1,1,0,0
370,31,Male,Yes,Travel_Rarely,Human Resources,Talent Acquisition Specialist,Other,Divorced,9,4,1,1,80,1258,75,9331,7113,2,3,1,6,Y,No,25,4,1,2,10,3,2,1,1,0,1
347,24,Male,No,Travel_Rarely,Engineering,Senior Software Engineer,Information Technology,Divorced,20,1,1,4,80,1375,59,13466,8286,2,3,4,4,Y,No,12,3,3,0,2,5,0,1,0,0,1
1404,29,Unknown,No,Travel_Frequently,Product,Ux Designer,Computer Science,Divorced,17,2,1,2,80,374,36,21772,8504,4,3,3,7,Y,No,15,3,2,3,11,6,3,7,1,1,6
659,26,Male,Yes,Travel_Frequently,Marketing,Marketing Specialist,Other,Divorced,17,4,1,4,80,1362,51,14336,2609,2,1,2,8,Y,No,15,3,4,2,9,4,2,1,0,0,1
1218,25,Male,Yes,Travel_Rarely,Engineering,Unknown,Information Technology,Married,21,3,1,3,80,587,38,16319,10437,4,3,4,1,Y,No,25,3,1,2,6,4,3,0,0,0,0
569,32,Male,No,Travel_Rarely,Product,Product Manager,Computer Science,Divorced,17,4,1,2,80,1181,66,13879,5328,4,2,2,5,Y,No,14,3,2,1,11,5,2,7,0,6,2
1461,51,Male,No,Travel_Rarely,Marketing,Marketing Specialist,Marketing,Married,12,3,1,1,80,1257,86,25688,3080,1,2,4,9,Y,No,15,3,4,1,30,2,3,26,26,20,26
393,39,Female,No,Travel_Rarely,It Operations,It Manager,Computer Science,Married,5,2,1,4,80,469,83,4929,23545,4,5,1,1,Y,No,24,3,4,0,21,2,3,9,3,9,6
661,35,Male,No,Non-Travel,Engineering,Devops Engineer,Software Engineering,Single,13,4,1,3,80,1418,66,23206,4027,3,2,4,9,Y,Yes,18,4,1,2,18,1,3,6,1,4,6
448,30,Female,No,Travel_Frequently,Customer Support,Technical Support Engineer,Business Administration,Married,10,1,1,1,80,258,96,8077,5016,1,1,2,3,Y,No,21,3,4,0,13,3,4,1,1,1,1
669,35,Female,No,Travel_Rarely,Data And Analytics,Data Engineer,Computer Science,Divorced,22,3,1,1,80,759,65,24111,3526,3,1,3,6,Y,No,24,4,1,0,16,3,3,2,1,2,1
1021,36,Male,No,Travel_Rarely,Sales,Sales Manager,Business Administration,Married,16,2,1,4,80,1116,89,25764,5938,4,2,3,4,Y,Yes,25,3,1,1,18,4,3,9,2,5,9
1107,48,Male,Yes,Travel_Rarely,Engineering,Senior Software Engineer,Information Technology,Married,27,5,1,3,80,879,90,14505,22604,4,4,3,3,Y,No,19,3,3,1,28,5,2,19,17,13,0
505,21,Female,No,Travel_Rarely,Human Resources,Talent Acquisition Specialist,Unknown,Married,16,2,1,4,80,1318,63,26794,12407,1,3,3,7,Y,No,14,3,1,0,0,3,1,0,0,0,0
1135,36,Male,No,Travel_Rarely,Engineering,Qa Engineer,Software Engineering,Divorced,17,4,1,2,80,677,69,24438,3544,1,1,2,0,Y,No,19,4,2,1,18,2,0,8,3,4,8
1252,38,Male,No,Travel_Frequently,Sales,Sales Manager,Computer Science,Married,4,4,1,2,80,639,99,13052,2804,3,1,1,8,Y,No,20,3,1,3,20,2,4,6,3,5,3
44,20,Male,Yes,Travel_Rarely,Marketing,Content Strategist,Other,Married,10,4,1,4,80,971,33,18438,3076,1,1,1,9,Y,No,22,3,4,1,1,0,3,0,0,0,0
24,21,Female,No,Travel_Frequently,Sales,Sales Manager,Business Administration,Single,21,5,1,4,80,997,53,25141,5368,3,2,2,1,Y,No,11,3,1,2,2,6,2,1,0,1,1
466,30,Male,No,Travel_Frequently,Engineering,Engineering Manager,Unknown,Single,3,3,1,2,80,1123,59,7545,5475,4,2,4,0,Y,No,22,4,2,1,12,5,2,11,2,3,5
667,28,Male,No,Non-Travel,Engineering,Software Engineer,Computer Science,Unknown,17,3,1,1,80,1438,87,13593,3006,1,1,1,9,Y,No,21,3,2,0,7,3,3,6,6,4,2
504,30,Male,No,Travel_Rarely,Engineering,Devops Engineer,Computer Science,Divorced,26,1,1,2,80,705,83,23993,19769,4,4,2,6,Y,Yes,16,3,2,0,9,1,3,8,5,5,2
1265,51,Female,No,Travel_Rarely,Sales,Sales Executive,Marketing,Married,4,3,1,2,80,521,32,10721,22575,1,5,4,9,Y,Yes,21,3,3,1,32,1,4,8,7,0,0
864,30,Male,Yes,Travel_Rarely,Customer Support,Customer Support Specialist,Information Technology,Married,22,1,1,1,80,957,61,19278,8663,2,3,2,8,Y,No,19,3,1,1,7,2,3,3,3,3,0
190,42,Male,No,Travel_Rarely,Sales,Account Manager,Business Administration,Married,1,3,1,4,80,1408,86,13093,25000,2,5,3,2,Y,Yes,22,4,4,1,21,1,0,5,1,4,4
331,53,Female,No,Travel_Rarely,Data & Analytics,Data Scientist,Statistics,Married,5,3,1,3,80,422,70,5124,7046,2,3,4,9,Y,Yes,22,3,1,0,29,2,2,16,5,0,7
207,26,Male,Yes,Travel_Rarely,Marketing,Content Strategist,Other,Divorced,5,4,1,4,80,1344,84,13962,3241,4,1,2,4,Y,No,18,3,4,0,4,1,2,1,0,1,0
716,44,Female,No,Travel_Frequently,Marketing,Content Strategist,Other,Single,28,4,1,2,80,1164,71,11536,6997,1,2,2,2,Y,No,24,4,4,1,26,2,3,15,7,14,15
1175,39,Female,No,Travel_Rarely,Sales,Sales Manager,Other,Single,9,3,1,4,80,423,82,10843,4487,2,2,2,2,Y,No,18,3,1,1,19,2,3,18,5,15,4
805,25,Male,No,Travel_Rarely,Product,Product Manager,Other,Married,4,3,1,2,80,625,64,19348,11127,4,3,1,3,Y,No,11,3,3,0,3,3,3,1,1,0,0
902,43,Male,No,Travel_Rarely,Data & Analytics,Data Scientist,Computer Science,Married,4,1,1,3,80,946,41,12726,7934,4,2,4,5,Y,Yes,18,3,1,1,24,3,3,7,7,5,6
1123,37,Female,No,Travel_Frequently,Customer Support,Technical Support Engineer,Business Administration,Divorced,4,4,1,1,80,1332,74,15988,4035,4,1,3,8,Y,No,21,3,1,2,16,2,3,15,7,15,2
14,30,Male,No,Travel_Rarely,It Operations,It Manager,Electrical Engineering,Married,25,4,1,1,80,639,78,21603,3404,1,3,2,9,Y,No,20,3,2,0,7,2,3,6,3,2,3
325,38,Female,Yes,Non-Travel,Product,Product Manager,Business Administration,Married,23,4,1,2,80,798,45,5213,5364,1,2,1,5,Y,No,24,3,1,2,20,2,3,2,0,2,1
873,31,Female,No,Travel_Frequently,Marketing,Digital Marketing Manager,Business Administration,Married,15,2,1,4,80,236,91,15252,11750,2,3,1,2,Y,No,15,3,1,2,8,4,3,6,2,1,0
